frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"92","Dec 17, 2025 19:27:06.291523000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"92","Dec 17, 2025 19:27:06.306631000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"157","Dec 17, 2025 19:27:06.649958000 EST",,,,"eth:ethertype:ipv6:udp:dhcpv6",,,,"546","547",,
"110","Dec 17, 2025 19:27:06.681710000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"92","Dec 17, 2025 19:27:07.055865000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"76","Dec 17, 2025 19:27:07.073111000 EST","192.168.138.187","8.8.8.8","128","eth:ethertype:ip:udp:dns",,,,"55706","53",,
"182","Dec 17, 2025 19:27:07.128139000 EST","8.8.8.8","192.168.138.187","128","eth:ethertype:ip:udp:dns",,,,"53","55706",,
"66","Dec 17, 2025 19:27:07.129811000 EST","192.168.138.187","196.204.5.32","128","eth:ethertype:ip:tcp","49158","80","0x0002",,,,
"60","Dec 17, 2025 19:27:07.144255000 EST","196.204.5.32","192.168.138.187","128","eth:ethertype:ip:tcp","80","49158","0x0012",,,,
"60","Dec 17, 2025 19:27:07.144278000 EST","192.168.138.187","196.204.5.32","128","eth:ethertype:ip:tcp","49158","80","0x0010",,,,
"151","Dec 17, 2025 19:27:07.144580000 EST","192.168.138.187","196.204.5.32","128","eth:ethertype:ip:tcp:http","49158","80","0x0018",,,,
"60","Dec 17, 2025 19:27:07.144720000 EST","196.204.5.32","192.168.138.187","128","eth:ethertype:ip:tcp","80","49158","0x0010",,,,
"233","Dec 17, 2025 19:27:07.160049000 EST","196.204.5.32","192.168.138.187","128","eth:ethertype:ip:tcp:http:data-text-lines","80","49158","0x0019",,,,
"60","Dec 17, 2025 19:27:07.160158000 EST","192.168.138.187","196.204.5.32","128","eth:ethertype:ip:tcp","49158","80","0x0010",,,,
"60","Dec 17, 2025 19:27:07.160306000 EST","192.168.138.187","196.204.5.32","128","eth:ethertype:ip:tcp","49158","80","0x0011",,,,
"60","Dec 17, 2025 19:27:07.160317000 EST","196.204.5.32","192.168.138.187","128","eth:ethertype:ip:tcp","80","49158","0x0010",,,,
"110","Dec 17, 2025 19:27:07.445695000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"157","Dec 17, 2025 19:27:07.664097000 EST",,,,"eth:ethertype:ipv6:udp:dhcpv6",,,,"546","547",,
"92","Dec 17, 2025 19:27:07.820718000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"228","Dec 17, 2025 19:27:08.210115000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbdgm:smb:browser",,,,"138","138","0x25",
"243","Dec 17, 2025 19:27:08.212721000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbdgm:smb:browser",,,,"138","138","0x25",
"92","Dec 17, 2025 19:27:08.584353000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"92","Dec 17, 2025 19:27:09.348468000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"110","Dec 17, 2025 19:27:09.630496000 EST","192.168.138.187","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"90","Dec 17, 2025 19:27:09.638795000 EST",,,,"eth:ethertype:ipv6:ipv6.hopopts:icmpv6",,,,,,,
"60","Dec 17, 2025 19:27:09.638915000 EST","192.168.138.187","224.0.0.22","1","eth:ethertype:ip:igmp:igmp",,,,,,,
"90","Dec 17, 2025 19:27:09.639954000 EST",,,,"eth:ethertype:ipv6:ipv6.hopopts:icmpv6",,,,,,,
"60","Dec 17, 2025 19:27:09.640037000 EST","192.168.138.187","224.0.0.22","1","eth:ethertype:ip:igmp:igmp",,,,,,,
"95","Dec 17, 2025 19:27:09.640635000 EST",,,,"eth:ethertype:ipv6:udp:llmnr",,,,"62245","5355",,
"75","Dec 17, 2025 19:27:09.640717000 EST","192.168.138.187","224.0.0.252","1","eth:ethertype:ip:udp:llmnr",,,,"51112","5355",,
"60","Dec 17, 2025 19:27:09.646380000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec 17, 2025 19:27:09.646380000 EST",,,,"eth:ethertype:arp",,,,,,,
"85","Dec 17, 2025 19:27:09.646987000 EST","192.168.138.187","8.8.8.8","128","eth:ethertype:ip:udp:dns",,,,"61807","53",,
"157","Dec 17, 2025 19:27:09.676329000 EST",,,,"eth:ethertype:ipv6:udp:dhcpv6",,,,"546","547",,
"158","Dec 17, 2025 19:27:09.703311000 EST","8.8.8.8","192.168.138.187","128","eth:ethertype:ip:udp:dns",,,,"53","61807",,
"228","Dec 17, 2025 19:27:09.723252000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbdgm:smb:browser",,,,"138","138","0x25",
"95","Dec 17, 2025 19:27:09.738847000 EST",,,,"eth:ethertype:ipv6:udp:llmnr",,,,"62245","5355",,
"75","Dec 17, 2025 19:27:09.738847000 EST","192.168.138.187","224.0.0.252","1","eth:ethertype:ip:udp:llmnr",,,,"51112","5355",,
"74","Dec 17, 2025 19:27:09.807107000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","43447","445","0x0002",,,,
"60","Dec 17, 2025 19:27:09.807433000 EST",,,,"eth:ethertype:arp",,,,,,,
"42","Dec 17, 2025 19:27:09.807444000 EST",,,,"eth:ethertype:arp",,,,,,,
"74","Dec 17, 2025 19:27:09.807618000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","43447","0x0012",,,,
"66","Dec 17, 2025 19:27:09.807655000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","43447","445","0x0010",,,,
"154","Dec 17, 2025 19:27:09.815607000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","43447","445","0x0018",,,"0x72","LANMAN1.0"
"197","Dec 17, 2025 19:27:09.820176000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:spnego","445","43447","0x0018",,,"0x72",
"66","Dec 17, 2025 19:27:09.820206000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","43447","445","0x0010",,,,
"212","Dec 17, 2025 19:27:09.821747000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","43447","445","0x0018",,,"0x73",
"417","Dec 17, 2025 19:27:09.821956000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","445","43447","0x0018",,,"0x73",
"262","Dec 17, 2025 19:27:09.823584000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","43447","445","0x0018",,,"0x73",
"179","Dec 17, 2025 19:27:09.823853000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","43447","0x0018",,,"0x73",
"143","Dec 17, 2025 19:27:09.825034000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","43447","445","0x0018",,,"0x75",
