frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"202","Dec 17, 2025 19:22:16.184582000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","34631","445","0x0018",,,"0x73",
"187","Dec 17, 2025 19:22:16.184939000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","34631","0x0018",,,"0x73",
"143","Dec 17, 2025 19:22:16.195968000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","34631","445","0x0018",,,"0x75",
"124","Dec 17, 2025 19:22:16.196275000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","34631","0x0018",,,"0x75",
"1150","Dec 17, 2025 19:22:16.224922000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","34631","445","0x0018",,,"0xa0",
"105","Dec 17, 2025 19:22:16.225263000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","34631","0x0018",,,"0xa0",
"66","Dec 17, 2025 19:22:16.267067000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","34631","445","0x0010",,,,
"7306","Dec 17, 2025 19:22:16.285911000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","34631","445","0x0018",,,"0x33",
"7306","Dec 17, 2025 19:22:16.285988000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:nbss:smb","34631","445","0x0018",,,"0x33",
"66","Dec 17, 2025 19:22:16.286239000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","34631","0x0010",,,,
"66","Dec 17, 2025 19:22:16.286240000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","34631","0x0010",,,,
"66","Dec 17, 2025 19:22:16.286240000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","34631","0x0010",,,,
"66","Dec 17, 2025 19:22:16.286240000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","34631","0x0010",,,,
"5858","Dec 17, 2025 19:22:16.286272000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","34631","445","0x0018",,,"0x33",
"8754","Dec 17, 2025 19:22:16.286332000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:nbss:smb","34631","445","0x0018",,,"0x33",
"8754","Dec 17, 2025 19:22:16.286371000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:nbss:smb:smb","34631","445","0x0018",,,"0x33",
"5858","Dec 17, 2025 19:22:16.286420000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","34631","445","0x0018",,,"0x33",
"66","Dec 17, 2025 19:22:16.286457000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","34631","0x0010",,,,
"11650","Dec 17, 2025 19:22:16.286463000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:nbss:smb:smb","34631","445","0x0018",,,"0x33",
"66","Dec 17, 2025 19:22:16.286529000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","34631","0x0010",,,,
"66","Dec 17, 2025 19:22:16.286667000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","34631","0x0010",,,,
"66","Dec 17, 2025 19:22:16.286667000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","34631","0x0010",,,,
"66","Dec 17, 2025 19:22:16.286667000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","34631","0x0010",,,,
"7337","Dec 17, 2025 19:22:16.286685000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:nbss:smb","34631","445","0x0018",,,"0x33",
"66","Dec 17, 2025 19:22:16.286773000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","34631","0x0010",,,,
"66","Dec 17, 2025 19:22:16.286773000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","34631","0x0010",,,,
"66","Dec 17, 2025 19:22:16.286789000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","34631","0x0010",,,,
"66","Dec 17, 2025 19:22:16.286887000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","34631","0x0010",,,,
"66","Dec 17, 2025 19:22:16.286887000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","34631","0x0010",,,,
"66","Dec 17, 2025 19:22:16.286887000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","34631","0x0010",,,,
"62","Dec 17, 2025 19:22:17.008818000 EST",,,,"eth:ethertype:ipv6:icmpv6",,,,,,,
"60","Dec 17, 2025 19:22:18.834927000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec 17, 2025 19:22:18.834927000 EST",,,,"eth:ethertype:arp",,,,,,,
"66","Dec 17, 2025 19:22:20.597604000 EST","192.168.138.1","192.168.138.181","128","eth:ethertype:ip:tcp","54691","80","0x0002",,,,
"54","Dec 17, 2025 19:22:20.597630000 EST","192.168.138.181","192.168.138.1","64","eth:ethertype:ip:tcp","80","54691","0x0014",,,,
"66","Dec 17, 2025 19:22:20.598047000 EST","192.168.138.1","192.168.138.187","128","eth:ethertype:ip:tcp","54697","80","0x0002",,,,
"60","Dec 17, 2025 19:22:20.598158000 EST","192.168.138.187","192.168.138.1","128","eth:ethertype:ip:tcp","80","54697","0x0014",,,,
"66","Dec 17, 2025 19:22:21.102198000 EST","192.168.138.1","192.168.138.181","128","eth:ethertype:ip:tcp","54691","80","0x0002",,,,
