frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"110","Dec  5, 2025 12:36:38.713239000 EST","192.168.138.184","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"42","Dec  5, 2025 12:36:39.515555000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 12:36:39.515806000 EST",,,,"eth:ethertype:arp",,,,,,,
"110","Dec  5, 2025 12:36:40.265977000 EST","192.168.138.184","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"110","Dec  5, 2025 12:36:41.034073000 EST","192.168.138.184","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"60","Dec  5, 2025 12:36:41.227281000 EST",,,,"eth:ethertype:arp",,,,,,,
"110","Dec  5, 2025 12:36:41.801477000 EST","192.168.138.184","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"60","Dec  5, 2025 12:36:41.897613000 EST",,,,"eth:ethertype:arp",,,,,,,
"110","Dec  5, 2025 12:36:42.569022000 EST","192.168.138.184","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"60","Dec  5, 2025 12:36:42.900621000 EST",,,,"eth:ethertype:arp",,,,,,,
"228","Dec  5, 2025 12:36:43.335833000 EST","192.168.138.184","192.168.138.255","128","eth:ethertype:ip:udp:nbdgm:smb:browser",,,,"138","138","0x25",
"228","Dec  5, 2025 12:36:43.335888000 EST","192.168.138.184","192.168.138.255","128","eth:ethertype:ip:udp:nbdgm:smb:browser",,,,"138","138","0x25",
"258","Dec  5, 2025 12:36:43.336122000 EST","192.168.138.184","192.168.138.255","128","eth:ethertype:ip:udp:nbdgm:smb:browser",,,,"138","138","0x25",
"60","Dec  5, 2025 12:36:44.259076000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 12:36:44.910307000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 12:36:45.909544000 EST",,,,"eth:ethertype:arp",,,,,,,
"74","Dec  5, 2025 12:36:47.387821000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","34721","445","0x0002",,,,
"74","Dec  5, 2025 12:36:47.388065000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","445","34721","0x0012",,,,
"66","Dec  5, 2025 12:36:47.388103000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","34721","445","0x0010",,,,
"154","Dec  5, 2025 12:36:47.394959000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","34721","445","0x0018",,,"0x72","LANMAN1.0"
"197","Dec  5, 2025 12:36:47.402244000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:spnego","445","34721","0x0018",,,"0x72",
"66","Dec  5, 2025 12:36:47.402287000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","34721","445","0x0010",,,,
"212","Dec  5, 2025 12:36:47.404154000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","34721","445","0x0018",,,"0x73",
"417","Dec  5, 2025 12:36:47.404377000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","445","34721","0x0018",,,"0x73",
"262","Dec  5, 2025 12:36:47.405919000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","34721","445","0x0018",,,"0x73",
"179","Dec  5, 2025 12:36:47.406284000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","34721","0x0018",,,"0x73",
"143","Dec  5, 2025 12:36:47.407202000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","34721","445","0x0018",,,"0x75",
"116","Dec  5, 2025 12:36:47.407325000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","34721","0x0018",,,"0x75",
"144","Dec  5, 2025 12:36:47.408535000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","34721","445","0x0018",,,"0x25",
"105","Dec  5, 2025 12:36:47.408637000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","34721","0x0018",,,"0x25",
"74","Dec  5, 2025 12:36:47.409283000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","44407","135","0x0002",,,,
"74","Dec  5, 2025 12:36:47.409425000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","135","44407","0x0012",,,,
"66","Dec  5, 2025 12:36:47.409446000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","44407","135","0x0010",,,,
"138","Dec  5, 2025 12:36:47.409550000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:dcerpc","44407","135","0x0018",,,,
"126","Dec  5, 2025 12:36:47.409702000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:dcerpc","135","44407","0x0018",,,,
"66","Dec  5, 2025 12:36:47.409719000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","44407","135","0x0010",,,,
"66","Dec  5, 2025 12:36:47.409769000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","44407","135","0x0011",,,,
"66","Dec  5, 2025 12:36:47.409865000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","135","44407","0x0010",,,,
"66","Dec  5, 2025 12:36:47.409865000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","135","44407","0x0011",,,,
"66","Dec  5, 2025 12:36:47.409902000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","44407","135","0x0010",,,,
"66","Dec  5, 2025 12:36:47.450720000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","34721","445","0x0010",,,,
"149","Dec  5, 2025 12:36:47.615120000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","34721","445","0x0018",,,"0x32",
