frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"92","Dec 17, 2025 18:50:53.593663000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"110","Dec 17, 2025 18:50:53.716715000 EST","192.168.138.187","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"92","Dec 17, 2025 18:50:54.356140000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"60","Dec 17, 2025 18:50:54.830032000 EST",,,,"eth:ethertype:arp",,,,,,,
"42","Dec 17, 2025 18:50:54.830057000 EST",,,,"eth:ethertype:arp",,,,,,,
"92","Dec 17, 2025 18:50:55.120510000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"42","Dec 17, 2025 18:50:55.174498000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec 17, 2025 18:50:55.174724000 EST",,,,"eth:ethertype:arp",,,,,,,
"110","Dec 17, 2025 18:50:55.229808000 EST","192.168.138.187","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"92","Dec 17, 2025 18:50:55.905948000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"92","Dec 17, 2025 18:50:56.664876000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"92","Dec 17, 2025 18:50:57.429387000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"74","Dec 17, 2025 18:50:57.760936000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","38621","445","0x0002",,,,
"60","Dec 17, 2025 18:50:57.761352000 EST",,,,"eth:ethertype:arp",,,,,,,
"42","Dec 17, 2025 18:50:57.761361000 EST",,,,"eth:ethertype:arp",,,,,,,
"74","Dec 17, 2025 18:50:57.761534000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","38621","0x0012",,,,
"66","Dec 17, 2025 18:50:57.761567000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","38621","445","0x0010",,,,
"154","Dec 17, 2025 18:50:57.768804000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","38621","445","0x0018",,,"0x72","LANMAN1.0"
"197","Dec 17, 2025 18:50:57.773365000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:spnego","445","38621","0x0018",,,"0x72",
"66","Dec 17, 2025 18:50:57.773402000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","38621","445","0x0010",,,,
"212","Dec 17, 2025 18:50:57.775028000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","38621","445","0x0018",,,"0x73",
"417","Dec 17, 2025 18:50:57.775242000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","445","38621","0x0018",,,"0x73",
"262","Dec 17, 2025 18:50:57.776694000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","38621","445","0x0018",,,"0x73",
"179","Dec 17, 2025 18:50:57.776982000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","38621","0x0018",,,"0x73",
"143","Dec 17, 2025 18:50:57.778005000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","38621","445","0x0018",,,"0x75",
"116","Dec 17, 2025 18:50:57.778159000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","38621","0x0018",,,"0x75",
