frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"66","Dec  3, 2025 16:45:16.968013000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","49161","4444","0x0002",,,,
"54","Dec  3, 2025 16:45:16.968039000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","4444","49161","0x0014",,,,
"62","Dec  3, 2025 16:45:17.482942000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","49161","4444","0x0002",,,,
"54","Dec  3, 2025 16:45:17.482983000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","4444","49161","0x0014",,,,
"42","Dec  3, 2025 16:45:21.527533000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  3, 2025 16:45:21.527907000 EST",,,,"eth:ethertype:arp",,,,,,,
"66","Dec  3, 2025 16:45:27.497233000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","49161","4444","0x0002",,,,
"54","Dec  3, 2025 16:45:27.497265000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","4444","49161","0x0014",,,,
"87","Dec  3, 2025 16:45:27.638949000 EST","192.168.138.1","224.0.0.251","255","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"107","Dec  3, 2025 16:45:27.641410000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"66","Dec  3, 2025 16:45:28.012139000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","49161","4444","0x0002",,,,
"54","Dec  3, 2025 16:45:28.012170000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","4444","49161","0x0014",,,,
"62","Dec  3, 2025 16:45:28.526999000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","49161","4444","0x0002",,,,
"54","Dec  3, 2025 16:45:28.527037000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","4444","49161","0x0014",,,,
