frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"74","Dec 13, 2025 12:38:27.202163347 EST","192.168.138.181","192.168.138.191","64","eth:ethertype:ip:tcp","39573","445","0x0002",,,,
"74","Dec 13, 2025 12:38:27.202402476 EST","192.168.138.191","192.168.138.181","128","eth:ethertype:ip:tcp","445","39573","0x0012",,,,
"66","Dec 13, 2025 12:38:27.202437452 EST","192.168.138.181","192.168.138.191","64","eth:ethertype:ip:tcp","39573","445","0x0010",,,,
"154","Dec 13, 2025 12:38:27.209655125 EST","192.168.138.181","192.168.138.191","64","eth:ethertype:ip:tcp:nbss:smb","39573","445","0x0018",,,"0x72","LANMAN1.0"
"185","Dec 13, 2025 12:38:27.210000204 EST","192.168.138.191","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:spnego","445","39573","0x0018",,,"0x72",
"66","Dec 13, 2025 12:38:27.210045511 EST","192.168.138.181","192.168.138.191","64","eth:ethertype:ip:tcp","39573","445","0x0010",,,,
"212","Dec 13, 2025 12:38:27.211831504 EST","192.168.138.181","192.168.138.191","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","39573","445","0x0018",,,"0x73",
"445","Dec 13, 2025 12:38:27.212109935 EST","192.168.138.191","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","445","39573","0x0018",,,"0x73",
"262","Dec 13, 2025 12:38:27.213838368 EST","192.168.138.181","192.168.138.191","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","39573","445","0x0018",,,"0x73",
"207","Dec 13, 2025 12:38:27.214200248 EST","192.168.138.191","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","39573","0x0018",,,"0x73",
"143","Dec 13, 2025 12:38:27.215233138 EST","192.168.138.181","192.168.138.191","64","eth:ethertype:ip:tcp:nbss:smb","39573","445","0x0018",,,"0x75",
"116","Dec 13, 2025 12:38:27.215388695 EST","192.168.138.191","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","39573","0x0018",,,"0x75",
"144","Dec 13, 2025 12:38:27.216529042 EST","192.168.138.181","192.168.138.191","64","eth:ethertype:ip:tcp:nbss:smb","39573","445","0x0018",,,"0x25",
"105","Dec 13, 2025 12:38:27.216650129 EST","192.168.138.191","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","39573","0x0018",,,"0x25",
"74","Dec 13, 2025 12:38:27.217391041 EST","192.168.138.181","192.168.138.191","64","eth:ethertype:ip:tcp","37101","135","0x0002",,,,
"74","Dec 13, 2025 12:38:27.217510012 EST","192.168.138.191","192.168.138.181","128","eth:ethertype:ip:tcp","135","37101","0x0012",,,,
"66","Dec 13, 2025 12:38:27.217536575 EST","192.168.138.181","192.168.138.191","64","eth:ethertype:ip:tcp","37101","135","0x0010",,,,
"138","Dec 13, 2025 12:38:27.217652179 EST","192.168.138.181","192.168.138.191","64","eth:ethertype:ip:tcp:dcerpc","37101","135","0x0018",,,,
