frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"60","Dec  5, 2025 11:51:22.836790000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 11:51:24.331498000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 11:51:25.332118000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 11:51:26.333983000 EST",,,,"eth:ethertype:arp",,,,,,,
"74","Dec  5, 2025 11:51:28.294959000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","41191","445","0x0002",,,,
"74","Dec  5, 2025 11:51:28.295258000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","445","41191","0x0012",,,,
"66","Dec  5, 2025 11:51:28.295294000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","41191","445","0x0010",,,,
"154","Dec  5, 2025 11:51:28.305046000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","41191","445","0x0018",,,"0x72","LANMAN1.0"
"197","Dec  5, 2025 11:51:28.305513000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:spnego","445","41191","0x0018",,,"0x72",
"66","Dec  5, 2025 11:51:28.305547000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","41191","445","0x0010",,,,
"212","Dec  5, 2025 11:51:28.307421000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","41191","445","0x0018",,,"0x73",
"417","Dec  5, 2025 11:51:28.307688000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","445","41191","0x0018",,,"0x73",
"262","Dec  5, 2025 11:51:28.309162000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","41191","445","0x0018",,,"0x73",
"179","Dec  5, 2025 11:51:28.309492000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","41191","0x0018",,,"0x73",
"143","Dec  5, 2025 11:51:28.310872000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","41191","445","0x0018",,,"0x75",
"116","Dec  5, 2025 11:51:28.311048000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","41191","0x0018",,,"0x75",
"144","Dec  5, 2025 11:51:28.312073000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","41191","445","0x0018",,,"0x25",
"105","Dec  5, 2025 11:51:28.312176000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","41191","0x0018",,,"0x25",
"74","Dec  5, 2025 11:51:28.312902000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","36181","135","0x0002",,,,
"74","Dec  5, 2025 11:51:28.313018000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","135","36181","0x0012",,,,
"66","Dec  5, 2025 11:51:28.313044000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","36181","135","0x0010",,,,
"138","Dec  5, 2025 11:51:28.313132000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:dcerpc","36181","135","0x0018",,,,
"126","Dec  5, 2025 11:51:28.313337000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:dcerpc","135","36181","0x0018",,,,
"66","Dec  5, 2025 11:51:28.313357000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","36181","135","0x0010",,,,
"66","Dec  5, 2025 11:51:28.313428000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","36181","135","0x0011",,,,
"66","Dec  5, 2025 11:51:28.313530000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","135","36181","0x0010",,,,
"66","Dec  5, 2025 11:51:28.313530000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","135","36181","0x0011",,,,
"66","Dec  5, 2025 11:51:28.313551000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","36181","135","0x0010",,,,
"66","Dec  5, 2025 11:51:28.353898000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","41191","445","0x0010",,,,
"149","Dec  5, 2025 11:51:28.518819000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","41191","445","0x0018",,,"0x32",
"105","Dec  5, 2025 11:51:28.519075000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","41191","0x0018",,,"0x32",
"66","Dec  5, 2025 11:51:28.519102000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","41191","445","0x0010",,,,
"66","Dec  5, 2025 11:51:29.263977000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","41191","445","0x0011",,,,
"66","Dec  5, 2025 11:51:29.264235000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","445","41191","0x0010",,,,
"60","Dec  5, 2025 11:51:29.264455000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","445","41191","0x0014",,,,
"74","Dec  5, 2025 11:51:29.677931000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","37949","445","0x0002",,,,
"74","Dec  5, 2025 11:51:29.678168000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","445","37949","0x0012",,,,
"66","Dec  5, 2025 11:51:29.678203000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","37949","445","0x0010",,,,
"117","Dec  5, 2025 11:51:29.681003000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","37949","445","0x0018",,,"0x72","NT LM 0.12"
"197","Dec  5, 2025 11:51:29.681337000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:spnego","445","37949","0x0018",,,"0x72",
"66","Dec  5, 2025 11:51:29.681366000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","37949","445","0x0010",,,,
"202","Dec  5, 2025 11:51:29.684919000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","37949","445","0x0018",,,"0x73",
"187","Dec  5, 2025 11:51:29.685169000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","37949","0x0018",,,"0x73",
"143","Dec  5, 2025 11:51:29.688649000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","37949","445","0x0018",,,"0x75",
"124","Dec  5, 2025 11:51:29.688817000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","37949","0x0018",,,"0x75",
"1150","Dec  5, 2025 11:51:29.703195000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","37949","445","0x0018",,,"0xa0",
"105","Dec  5, 2025 11:51:29.703492000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","37949","0x0018",,,"0xa0",
"66","Dec  5, 2025 11:51:29.746128000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","37949","445","0x0010",,,,
"7306","Dec  5, 2025 11:51:29.749149000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","37949","445","0x0018",,,"0x33",
"7306","Dec  5, 2025 11:51:29.749207000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb:nbss:smb","37949","445","0x0018",,,"0x33",
"66","Dec  5, 2025 11:51:29.749379000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","445","37949","0x0010",,,,
"66","Dec  5, 2025 11:51:29.749379000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","445","37949","0x0010",,,,
"66","Dec  5, 2025 11:51:29.749379000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","445","37949","0x0010",,,,
"66","Dec  5, 2025 11:51:29.749379000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","445","37949","0x0010",,,,
"5858","Dec  5, 2025 11:51:29.749401000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","37949","445","0x0018",,,"0x33",
