frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"157","Dec  3, 2025 13:09:51.369167000 EST",,,,"eth:ethertype:ipv6:udp:dhcpv6",,,,"546","547",,
"90","Dec  3, 2025 13:09:53.998334000 EST","192.168.138.181","41.205.142.133","64","eth:ethertype:ip:udp:ntp",,,,"50006","123",,
"90","Dec  3, 2025 13:09:54.213817000 EST","41.205.142.133","192.168.138.181","128","eth:ethertype:ip:udp:ntp",,,,"123","50006",,
"86","Dec  3, 2025 13:09:55.783466000 EST","192.168.138.1","192.168.138.255","128","eth:ethertype:ip:udp:data",,,,"57621","57621",,
"60","Dec  3, 2025 13:10:05.468233000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp","443","42430","0x0019",,,,
"78","Dec  3, 2025 13:10:05.468516000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp:tls","42430","443","0x0018",,,,
"54","Dec  3, 2025 13:10:05.468597000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp","42430","443","0x0011",,,,
"60","Dec  3, 2025 13:10:05.468878000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp","443","42430","0x0010",,,,
"60","Dec  3, 2025 13:10:05.468878000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp","443","42430","0x0010",,,,
"2165","Dec  3, 2025 13:10:05.967955000 EST","192.168.138.181","216.58.204.142","64","eth:ethertype:ip:tcp:tls","38078","443","0x0018",,,,
"4255","Dec  3, 2025 13:10:05.968038000 EST","192.168.138.181","216.58.204.142","64","eth:ethertype:ip:tcp:tls","38078","443","0x0018",,,,
"60","Dec  3, 2025 13:10:05.968178000 EST","216.58.204.142","192.168.138.181","128","eth:ethertype:ip:tcp","443","38078","0x0010",,,,
"60","Dec  3, 2025 13:10:05.968179000 EST","216.58.204.142","192.168.138.181","128","eth:ethertype:ip:tcp","443","38078","0x0010",,,,
"60","Dec  3, 2025 13:10:05.968249000 EST","216.58.204.142","192.168.138.181","128","eth:ethertype:ip:tcp","443","38078","0x0010",,,,
"60","Dec  3, 2025 13:10:05.968259000 EST","216.58.204.142","192.168.138.181","128","eth:ethertype:ip:tcp","443","38078","0x0010",,,,
"60","Dec  3, 2025 13:10:05.968334000 EST","216.58.204.142","192.168.138.181","128","eth:ethertype:ip:tcp","443","38078","0x0010",,,,
"1181","Dec  3, 2025 13:10:06.119180000 EST","216.58.204.142","192.168.138.181","128","eth:ethertype:ip:tcp:tls","443","38078","0x0018",,,,
"93","Dec  3, 2025 13:10:06.119534000 EST","192.168.138.181","216.58.204.142","64","eth:ethertype:ip:tcp:tls","38078","443","0x0018",,,,
"60","Dec  3, 2025 13:10:06.119680000 EST","216.58.204.142","192.168.138.181","128","eth:ethertype:ip:tcp","443","38078","0x0010",,,,
"85","Dec  3, 2025 13:10:10.488860000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"42841","53",,
"85","Dec  3, 2025 13:10:10.488915000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"42841","53",,
"101","Dec  3, 2025 13:10:12.529669000 EST","192.168.138.2","192.168.138.181","128","eth:ethertype:ip:udp:dns",,,,"53","42841",,
"166","Dec  3, 2025 13:10:12.531593000 EST","192.168.138.2","192.168.138.181","128","eth:ethertype:ip:udp:dns",,,,"53","42841",,
"74","Dec  3, 2025 13:10:12.536518000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp","47378","443","0x0002",,,,
"60","Dec  3, 2025 13:10:12.583810000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp","443","47378","0x0012",,,,
"54","Dec  3, 2025 13:10:12.583865000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp","47378","443","0x0010",,,,
"1342","Dec  3, 2025 13:10:12.584857000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp:tls","47378","443","0x0018",,,,
"60","Dec  3, 2025 13:10:12.585072000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp","443","47378","0x0010",,,,
"266","Dec  3, 2025 13:10:12.656326000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp:tls","443","47378","0x0018",,,,
"54","Dec  3, 2025 13:10:12.656363000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp","47378","443","0x0010",,,,
"118","Dec  3, 2025 13:10:12.656879000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp:tls","47378","443","0x0018",,,,
"60","Dec  3, 2025 13:10:12.657031000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp","443","47378","0x0010",,,,
"146","Dec  3, 2025 13:10:12.657121000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp:tls","47378","443","0x0018",,,,
"60","Dec  3, 2025 13:10:12.657216000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp","443","47378","0x0010",,,,
"672","Dec  3, 2025 13:10:12.704408000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp:tls","443","47378","0x0018",,,,
"85","Dec  3, 2025 13:10:12.706106000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp:tls","47378","443","0x0018",,,,
"60","Dec  3, 2025 13:10:12.706287000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp","443","47378","0x0010",,,,
"74","Dec  3, 2025 13:10:12.706740000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp","47392","443","0x0002",,,,
"85","Dec  3, 2025 13:10:12.770154000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp:tls","443","47378","0x0018",,,,
"60","Dec  3, 2025 13:10:12.770155000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp","443","47392","0x0012",,,,
"54","Dec  3, 2025 13:10:12.770200000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp","47392","443","0x0010",,,,
"1300","Dec  3, 2025 13:10:12.770931000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp:tls","47392","443","0x0018",,,,
"60","Dec  3, 2025 13:10:12.771237000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp","443","47392","0x0010",,,,
"54","Dec  3, 2025 13:10:12.811199000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp","47378","443","0x0010",,,,
"272","Dec  3, 2025 13:10:12.840751000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp:tls","443","47392","0x0018",,,,
"54","Dec  3, 2025 13:10:12.840778000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp","47392","443","0x0010",,,,
"118","Dec  3, 2025 13:10:12.841287000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp:tls","47392","443","0x0018",,,,
"60","Dec  3, 2025 13:10:12.841438000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp","443","47392","0x0010",,,,
"676","Dec  3, 2025 13:10:12.841512000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp:tls","47392","443","0x0018",,,,
"60","Dec  3, 2025 13:10:12.841644000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp","443","47392","0x0010",,,,
"886","Dec  3, 2025 13:10:13.094554000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp:tls","443","47392","0x0018",,,,
"193","Dec  3, 2025 13:10:13.102124000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp:tls","47392","443","0x0018",,,,
"60","Dec  3, 2025 13:10:13.102291000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp","443","47392","0x0010",,,,
"246","Dec  3, 2025 13:10:13.300097000 EST","34.107.243.93","192.168.138.181","128","eth:ethertype:ip:tcp:tls","443","47392","0x0018",,,,
"97","Dec  3, 2025 13:10:13.306353000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"51351","53",,
"54","Dec  3, 2025 13:10:13.357888000 EST","192.168.138.181","34.107.243.93","64","eth:ethertype:ip:tcp","47392","443","0x0010",,,,
"197","Dec  3, 2025 13:10:15.353329000 EST","192.168.138.2","192.168.138.181","128","eth:ethertype:ip:udp:dns",,,,"53","51351",,
"74","Dec  3, 2025 13:10:15.354094000 EST","192.168.138.181","151.101.1.91","64","eth:ethertype:ip:tcp","58842","443","0x0002",,,,
"60","Dec  3, 2025 13:10:15.407805000 EST","151.101.1.91","192.168.138.181","128","eth:ethertype:ip:tcp","443","58842","0x0012",,,,
"54","Dec  3, 2025 13:10:15.407878000 EST","192.168.138.181","151.101.1.91","64","eth:ethertype:ip:tcp","58842","443","0x0010",,,,
"571","Dec  3, 2025 13:10:15.408149000 EST","192.168.138.181","151.101.1.91","64","eth:ethertype:ip:tcp:tls","58842","443","0x0018",,,,
"60","Dec  3, 2025 13:10:15.408419000 EST","151.101.1.91","192.168.138.181","128","eth:ethertype:ip:tcp","443","58842","0x0010",,,,
"210","Dec  3, 2025 13:10:15.466668000 EST","151.101.1.91","192.168.138.181","128","eth:ethertype:ip:tcp:tls","443","58842","0x0018",,,,
"54","Dec  3, 2025 13:10:15.466742000 EST","192.168.138.181","151.101.1.91","64","eth:ethertype:ip:tcp","58842","443","0x0010",,,,
"105","Dec  3, 2025 13:10:15.467136000 EST","192.168.138.181","151.101.1.91","64","eth:ethertype:ip:tcp:tls","58842","443","0x0018",,,,
"60","Dec  3, 2025 13:10:15.467332000 EST","151.101.1.91","192.168.138.181","128","eth:ethertype:ip:tcp","443","58842","0x0010",,,,
"153","Dec  3, 2025 13:10:15.467503000 EST","192.168.138.181","151.101.1.91","64","eth:ethertype:ip:tcp:tls","58842","443","0x0018",,,,
"321","Dec  3, 2025 13:10:15.467577000 EST","192.168.138.181","151.101.1.91","64","eth:ethertype:ip:tcp:tls","58842","443","0x0018",,,,
"60","Dec  3, 2025 13:10:15.467641000 EST","151.101.1.91","192.168.138.181","128","eth:ethertype:ip:tcp","443","58842","0x0010",,,,
"60","Dec  3, 2025 13:10:15.467641000 EST","151.101.1.91","192.168.138.181","128","eth:ethertype:ip:tcp","443","58842","0x0010",,,,
"706","Dec  3, 2025 13:10:15.573837000 EST","151.101.1.91","192.168.138.181","128","eth:ethertype:ip:tcp:tls","443","58842","0x0018",,,,
"92","Dec  3, 2025 13:10:15.574001000 EST","192.168.138.181","151.101.1.91","64","eth:ethertype:ip:tcp:tls","58842","443","0x0018",,,,
"60","Dec  3, 2025 13:10:15.574235000 EST","151.101.1.91","192.168.138.181","128","eth:ethertype:ip:tcp","443","58842","0x0010",,,,
"60","Dec  3, 2025 13:10:21.784663000 EST",,,,"eth:ethertype:arp",,,,,,,
