frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"110","Dec 17, 2025 18:58:39.390296000 EST","192.168.138.187","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"60","Dec 17, 2025 18:58:39.656306000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec 17, 2025 18:58:40.332580000 EST",,,,"eth:ethertype:arp",,,,,,,
"92","Dec 17, 2025 18:58:40.388905000 EST","192.168.138.187","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"110","Dec 17, 2025 18:58:40.904145000 EST","192.168.138.187","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"60","Dec 17, 2025 18:58:41.342163000 EST",,,,"eth:ethertype:arp",,,,,,,
"92","Dec 17, 2025 18:58:41.902534000 EST","192.168.138.187","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"110","Dec 17, 2025 18:58:42.417107000 EST","192.168.138.187","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"60","Dec 17, 2025 18:58:42.662777000 EST",,,,"eth:ethertype:arp",,,,,,,
"157","Dec 17, 2025 18:58:42.775547000 EST",,,,"eth:ethertype:ipv6:udp:dhcpv6",,,,"546","547",,
"86","Dec 17, 2025 18:58:42.787012000 EST","192.168.138.1","192.168.138.255","128","eth:ethertype:ip:udp:data",,,,"57621","57621",,
"60","Dec 17, 2025 18:58:43.340666000 EST",,,,"eth:ethertype:arp",,,,,,,
"92","Dec 17, 2025 18:58:43.446552000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"110","Dec 17, 2025 18:58:43.929842000 EST","192.168.138.187","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"92","Dec 17, 2025 18:58:44.210733000 EST","192.168.138.187","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"60","Dec 17, 2025 18:58:44.338462000 EST",,,,"eth:ethertype:arp",,,,,,,
