frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"87","Dec  5, 2025 09:16:54.682603000 EST","192.168.138.1","224.0.0.251","255","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"329","Dec  5, 2025 09:16:54.682899000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"107","Dec  5, 2025 09:16:54.684719000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"349","Dec  5, 2025 09:16:54.685012000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"167","Dec  5, 2025 09:16:56.462847000 EST","192.168.138.1","239.255.255.250","255","eth:ethertype:ip:udp:ssdp",,,,"58975","1900",,
"74","Dec  5, 2025 09:17:01.598541000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","40709","445","0x0002",,,,
"74","Dec  5, 2025 09:17:01.598820000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","445","40709","0x0012",,,,
"66","Dec  5, 2025 09:17:01.598856000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","40709","445","0x0010",,,,
"154","Dec  5, 2025 09:17:01.606838000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","40709","445","0x0018",,,"0x72","LANMAN1.0"
"197","Dec  5, 2025 09:17:01.607201000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:spnego","445","40709","0x0018",,,"0x72",
"66","Dec  5, 2025 09:17:01.607236000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","40709","445","0x0010",,,,
"212","Dec  5, 2025 09:17:01.609056000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","40709","445","0x0018",,,"0x73",
"417","Dec  5, 2025 09:17:01.609412000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","445","40709","0x0018",,,"0x73",
