frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"66","Dec  3, 2025 14:30:28.070061000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","49216","4444","0x0002",,,,
"54","Dec  3, 2025 14:30:28.070105000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","4444","49216","0x0014",,,,
"66","Dec  3, 2025 14:30:28.586120000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","49216","4444","0x0002",,,,
"54","Dec  3, 2025 14:30:28.586143000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","4444","49216","0x0014",,,,
"62","Dec  3, 2025 14:30:29.084051000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","49216","4444","0x0002",,,,
"54","Dec  3, 2025 14:30:29.084073000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","4444","49216","0x0014",,,,
"85","Dec  3, 2025 14:30:32.985062000 EST","192.168.138.184","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"57478","53",,
"85","Dec  3, 2025 14:30:33.999252000 EST","192.168.138.184","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"57478","53",,
"212","Dec  3, 2025 14:30:34.519781000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"56419","1900",,
"212","Dec  3, 2025 14:30:34.597682000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"56424","1900",,
"85","Dec  3, 2025 14:30:35.013371000 EST","192.168.138.184","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"57478","53",,
"158","Dec  3, 2025 14:30:35.038883000 EST","192.168.138.2","192.168.138.184","128","eth:ethertype:ip:udp:dns",,,,"53","57478",,
"212","Dec  3, 2025 14:30:35.531067000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"56419","1900",,
"212","Dec  3, 2025 14:30:35.608416000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"56424","1900",,
"158","Dec  3, 2025 14:30:36.063309000 EST","192.168.138.2","192.168.138.184","128","eth:ethertype:ip:udp:dns",,,,"53","57478",,
"186","Dec  3, 2025 14:30:36.063438000 EST","192.168.138.184","192.168.138.2","128","eth:ethertype:ip:icmp:ip:udp:dns",,,,"53","57478",,
"212","Dec  3, 2025 14:30:36.541430000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"56419","1900",,
"212","Dec  3, 2025 14:30:36.619435000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"56424","1900",,
"158","Dec  3, 2025 14:30:37.097666000 EST","192.168.138.2","192.168.138.184","128","eth:ethertype:ip:udp:dns",,,,"53","57478",,
"186","Dec  3, 2025 14:30:37.097819000 EST","192.168.138.184","192.168.138.2","128","eth:ethertype:ip:icmp:ip:udp:dns",,,,"53","57478",,
"212","Dec  3, 2025 14:30:37.544264000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"56419","1900",,
"212","Dec  3, 2025 14:30:37.620906000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"56424","1900",,
"66","Dec  3, 2025 14:30:39.100947000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","49216","4444","0x0002",,,,
"54","Dec  3, 2025 14:30:39.100974000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","4444","49216","0x0014",,,,
"66","Dec  3, 2025 14:30:39.614391000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","49216","4444","0x0002",,,,
"54","Dec  3, 2025 14:30:39.614419000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","4444","49216","0x0014",,,,
"62","Dec  3, 2025 14:30:40.130460000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","49216","4444","0x0002",,,,
"54","Dec  3, 2025 14:30:40.130494000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","4444","49216","0x0014",,,,
"86","Dec  3, 2025 14:30:40.817093000 EST","192.168.138.1","192.168.138.255","128","eth:ethertype:ip:udp:data",,,,"57621","57621",,
"66","Dec  3, 2025 14:30:50.145454000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","49216","4444","0x0002",,,,
"54","Dec  3, 2025 14:30:50.145487000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","4444","49216","0x0014",,,,
"66","Dec  3, 2025 14:30:50.660993000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","49216","4444","0x0002",,,,
"54","Dec  3, 2025 14:30:50.661018000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","4444","49216","0x0014",,,,
"62","Dec  3, 2025 14:30:51.174758000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","49216","4444","0x0002",,,,
"54","Dec  3, 2025 14:30:51.174784000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","4444","49216","0x0014",,,,
"74","Dec  3, 2025 14:30:55.978262000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","38077","445","0x0002",,,,
"74","Dec  3, 2025 14:30:55.978559000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","445","38077","0x0012",,,,
"66","Dec  3, 2025 14:30:55.978592000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","38077","445","0x0010",,,,
"154","Dec  3, 2025 14:30:55.985356000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","38077","445","0x0018",,,"0x72","LANMAN1.0"
"197","Dec  3, 2025 14:30:55.985798000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:spnego","445","38077","0x0018",,,"0x72",
"66","Dec  3, 2025 14:30:55.985841000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","38077","445","0x0010",,,,
"212","Dec  3, 2025 14:30:55.987450000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","38077","445","0x0018",,,"0x73",
"417","Dec  3, 2025 14:30:55.987642000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","445","38077","0x0018",,,"0x73",
"262","Dec  3, 2025 14:30:55.989088000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","38077","445","0x0018",,,"0x73",
"179","Dec  3, 2025 14:30:55.989510000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","38077","0x0018",,,"0x73",
"143","Dec  3, 2025 14:30:55.990850000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","38077","445","0x0018",,,"0x75",
"116","Dec  3, 2025 14:30:55.991054000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","38077","0x0018",,,"0x75",
"144","Dec  3, 2025 14:30:55.999366000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","38077","445","0x0018",,,"0x25",
"105","Dec  3, 2025 14:30:55.999564000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","38077","0x0018",,,"0x25",
"74","Dec  3, 2025 14:30:56.000521000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","33765","135","0x0002",,,,
"74","Dec  3, 2025 14:30:56.000634000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","135","33765","0x0012",,,,
"66","Dec  3, 2025 14:30:56.000657000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","33765","135","0x0010",,,,
"138","Dec  3, 2025 14:30:56.000778000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:dcerpc","33765","135","0x0018",,,,
"126","Dec  3, 2025 14:30:56.001006000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:dcerpc","135","33765","0x0018",,,,
"66","Dec  3, 2025 14:30:56.001029000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","33765","135","0x0010",,,,
"66","Dec  3, 2025 14:30:56.001070000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","33765","135","0x0011",,,,
"66","Dec  3, 2025 14:30:56.001167000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","135","33765","0x0010",,,,
"66","Dec  3, 2025 14:30:56.001203000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","135","33765","0x0011",,,,
