frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"167","Dec 17, 2025 19:16:10.818771000 EST","192.168.138.1","239.255.255.250","255","eth:ethertype:ip:udp:ssdp",,,,"54089","1900",,
"66","Dec 17, 2025 19:16:11.311056000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","49160","4444","0x0002",,,,
"54","Dec 17, 2025 19:16:11.311073000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","4444","49160","0x0014",,,,
"110","Dec 17, 2025 19:16:11.732210000 EST","192.168.138.187","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"66","Dec 17, 2025 19:16:11.811001000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","49160","4444","0x0002",,,,
"54","Dec 17, 2025 19:16:11.811031000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","4444","49160","0x0014",,,,
"62","Dec 17, 2025 19:16:12.325082000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","49160","4444","0x0002",,,,
"54","Dec 17, 2025 19:16:12.325112000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","4444","49160","0x0014",,,,
"60","Dec 17, 2025 19:16:12.829860000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec 17, 2025 19:16:12.829860000 EST",,,,"eth:ethertype:arp",,,,,,,
"86","Dec 17, 2025 19:16:13.078490000 EST","192.168.138.1","192.168.138.255","128","eth:ethertype:ip:udp:data",,,,"57621","57621",,
"110","Dec 17, 2025 19:16:13.258776000 EST","192.168.138.187","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"74","Dec 17, 2025 19:16:14.120913000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","35961","445","0x0002",,,,
"74","Dec 17, 2025 19:16:14.121205000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","35961","0x0012",,,,
"66","Dec 17, 2025 19:16:14.121239000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","35961","445","0x0010",,,,
"154","Dec 17, 2025 19:16:14.128825000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","35961","445","0x0018",,,"0x72","LANMAN1.0"
"197","Dec 17, 2025 19:16:14.129314000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:spnego","445","35961","0x0018",,,"0x72",
"66","Dec 17, 2025 19:16:14.129347000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","35961","445","0x0010",,,,
"212","Dec 17, 2025 19:16:14.130943000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","35961","445","0x0018",,,"0x73",
"417","Dec 17, 2025 19:16:14.131135000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","445","35961","0x0018",,,"0x73",
"262","Dec 17, 2025 19:16:14.132621000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","35961","445","0x0018",,,"0x73",
"179","Dec 17, 2025 19:16:14.132897000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","35961","0x0018",,,"0x73",
"143","Dec 17, 2025 19:16:14.133776000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","35961","445","0x0018",,,"0x75",
"116","Dec 17, 2025 19:16:14.133884000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","35961","0x0018",,,"0x75",
"144","Dec 17, 2025 19:16:14.135003000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","35961","445","0x0018",,,"0x25",
"105","Dec 17, 2025 19:16:14.135104000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","35961","0x0018",,,"0x25",
"74","Dec 17, 2025 19:16:14.135795000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","35301","135","0x0002",,,,
"74","Dec 17, 2025 19:16:14.135937000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","135","35301","0x0012",,,,
"66","Dec 17, 2025 19:16:14.135962000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","35301","135","0x0010",,,,
"138","Dec 17, 2025 19:16:14.136043000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:dcerpc","35301","135","0x0018",,,,
"126","Dec 17, 2025 19:16:14.136205000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:dcerpc","135","35301","0x0018",,,,
"66","Dec 17, 2025 19:16:14.136229000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","35301","135","0x0010",,,,
"66","Dec 17, 2025 19:16:14.136267000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","35301","135","0x0011",,,,
"66","Dec 17, 2025 19:16:14.136406000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","135","35301","0x0010",,,,
"66","Dec 17, 2025 19:16:14.136406000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","135","35301","0x0011",,,,
"66","Dec 17, 2025 19:16:14.136426000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","35301","135","0x0010",,,,
"66","Dec 17, 2025 19:16:14.178636000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","35961","445","0x0010",,,,
"149","Dec 17, 2025 19:16:14.341799000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","35961","445","0x0018",,,"0x32",
"105","Dec 17, 2025 19:16:14.342216000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","35961","0x0018",,,"0x32",
"66","Dec 17, 2025 19:16:14.342253000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","35961","445","0x0010",,,,
"66","Dec 17, 2025 19:16:15.026263000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","35961","445","0x0011",,,,
"66","Dec 17, 2025 19:16:15.026529000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","35961","0x0010",,,,
"60","Dec 17, 2025 19:16:15.026743000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","35961","0x0014",,,,
"74","Dec 17, 2025 19:16:15.439612000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","38265","445","0x0002",,,,
"74","Dec 17, 2025 19:16:15.439844000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","38265","0x0012",,,,
