frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"60","Dec  5, 2025 11:44:40.822909000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 11:44:41.765186000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 11:44:42.765866000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 11:44:43.842671000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 11:44:44.768358000 EST",,,,"eth:ethertype:arp",,,,,,,
"74","Dec  5, 2025 11:44:44.907515000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","33689","445","0x0002",,,,
"60","Dec  5, 2025 11:44:44.908090000 EST",,,,"eth:ethertype:arp",,,,,,,
"42","Dec  5, 2025 11:44:44.908108000 EST",,,,"eth:ethertype:arp",,,,,,,
"74","Dec  5, 2025 11:44:44.908336000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","445","33689","0x0012",,,,
"66","Dec  5, 2025 11:44:44.908409000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","33689","445","0x0010",,,,
"154","Dec  5, 2025 11:44:44.915617000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","33689","445","0x0018",,,"0x72","LANMAN1.0"
"197","Dec  5, 2025 11:44:44.917068000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:spnego","445","33689","0x0018",,,"0x72",
"66","Dec  5, 2025 11:44:44.917092000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","33689","445","0x0010",,,,
"212","Dec  5, 2025 11:44:44.918767000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","33689","445","0x0018",,,"0x73",
"417","Dec  5, 2025 11:44:44.919274000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","445","33689","0x0018",,,"0x73",
"262","Dec  5, 2025 11:44:44.920595000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","33689","445","0x0018",,,"0x73",
"179","Dec  5, 2025 11:44:44.921344000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","33689","0x0018",,,"0x73",
"143","Dec  5, 2025 11:44:44.922322000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","33689","445","0x0018",,,"0x75",
"116","Dec  5, 2025 11:44:44.922597000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","33689","0x0018",,,"0x75",
"144","Dec  5, 2025 11:44:44.924035000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","33689","445","0x0018",,,"0x25",
"105","Dec  5, 2025 11:44:44.924199000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","33689","0x0018",,,"0x25",
"74","Dec  5, 2025 11:44:44.925136000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","38067","135","0x0002",,,,
"74","Dec  5, 2025 11:44:44.925365000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","135","38067","0x0012",,,,
"66","Dec  5, 2025 11:44:44.925392000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","38067","135","0x0010",,,,
"138","Dec  5, 2025 11:44:44.925519000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:dcerpc","38067","135","0x0018",,,,
"126","Dec  5, 2025 11:44:44.925888000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:dcerpc","135","38067","0x0018",,,,
"66","Dec  5, 2025 11:44:44.925910000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","38067","135","0x0010",,,,
"66","Dec  5, 2025 11:44:44.925951000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","38067","135","0x0011",,,,
"66","Dec  5, 2025 11:44:44.926059000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","135","38067","0x0010",,,,
