frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"66","Dec 17, 2025 18:53:50.713364000 EST","192.168.138.1","192.168.138.181","128","eth:ethertype:ip:tcp","59472","80","0x0002",,,,
"66","Dec 17, 2025 18:53:50.713364000 EST","192.168.138.1","192.168.138.187","128","eth:ethertype:ip:tcp","59478","80","0x0002",,,,
"54","Dec 17, 2025 18:53:50.713401000 EST","192.168.138.181","192.168.138.1","64","eth:ethertype:ip:tcp","80","59472","0x0014",,,,
"60","Dec 17, 2025 18:53:50.713484000 EST","192.168.138.187","192.168.138.1","128","eth:ethertype:ip:tcp","80","59478","0x0014",,,,
"60","Dec 17, 2025 18:53:50.822602000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec 17, 2025 18:53:50.822602000 EST",,,,"eth:ethertype:arp",,,,,,,
"74","Dec 17, 2025 18:53:54.178060000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","33571","445","0x0002",,,,
"74","Dec 17, 2025 18:53:54.178298000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","33571","0x0012",,,,
"66","Dec 17, 2025 18:53:54.178331000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","33571","445","0x0010",,,,
"154","Dec 17, 2025 18:53:54.186307000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","33571","445","0x0018",,,"0x72","LANMAN1.0"
"197","Dec 17, 2025 18:53:54.186780000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:spnego","445","33571","0x0018",,,"0x72",
"66","Dec 17, 2025 18:53:54.186813000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","33571","445","0x0010",,,,
"212","Dec 17, 2025 18:53:54.188904000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","33571","445","0x0018",,,"0x73",
"417","Dec 17, 2025 18:53:54.189154000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","445","33571","0x0018",,,"0x73",
"262","Dec 17, 2025 18:53:54.191004000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","33571","445","0x0018",,,"0x73",
