frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"212","Dec  5, 2025 12:25:56.994512000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"56173","1900",,
"212","Dec  5, 2025 12:25:58.009755000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"56173","1900",,
"74","Dec  5, 2025 12:25:58.145361000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","34001","445","0x0002",,,,
"74","Dec  5, 2025 12:25:58.145737000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","445","34001","0x0012",,,,
"66","Dec  5, 2025 12:25:58.145787000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","34001","445","0x0010",,,,
"154","Dec  5, 2025 12:25:58.153537000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","34001","445","0x0018",,,"0x72","LANMAN1.0"
"197","Dec  5, 2025 12:25:58.154125000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:spnego","445","34001","0x0018",,,"0x72",
"66","Dec  5, 2025 12:25:58.154173000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","34001","445","0x0010",,,,
"212","Dec  5, 2025 12:25:58.156076000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","34001","445","0x0018",,,"0x73",
"417","Dec  5, 2025 12:25:58.156346000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","445","34001","0x0018",,,"0x73",
"262","Dec  5, 2025 12:25:58.157646000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","34001","445","0x0018",,,"0x73",
"179","Dec  5, 2025 12:25:58.157975000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","34001","0x0018",,,"0x73",
"143","Dec  5, 2025 12:25:58.159358000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","34001","445","0x0018",,,"0x75",
"116","Dec  5, 2025 12:25:58.159473000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","34001","0x0018",,,"0x75",
"144","Dec  5, 2025 12:25:58.160586000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","34001","445","0x0018",,,"0x25",
"105","Dec  5, 2025 12:25:58.160724000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","34001","0x0018",,,"0x25",
"74","Dec  5, 2025 12:25:58.161758000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","33417","135","0x0002",,,,
"74","Dec  5, 2025 12:25:58.162010000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","135","33417","0x0012",,,,
"66","Dec  5, 2025 12:25:58.162064000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","33417","135","0x0010",,,,
"138","Dec  5, 2025 12:25:58.162215000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:dcerpc","33417","135","0x0018",,,,
"126","Dec  5, 2025 12:25:58.162411000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:dcerpc","135","33417","0x0018",,,,
"66","Dec  5, 2025 12:25:58.162444000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","33417","135","0x0010",,,,
"66","Dec  5, 2025 12:25:58.162520000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","33417","135","0x0011",,,,
"66","Dec  5, 2025 12:25:58.162722000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","135","33417","0x0010",,,,
"66","Dec  5, 2025 12:25:58.162723000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","135","33417","0x0011",,,,
"66","Dec  5, 2025 12:25:58.162761000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","33417","135","0x0010",,,,
"66","Dec  5, 2025 12:25:58.201551000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","34001","445","0x0010",,,,
"149","Dec  5, 2025 12:25:58.367814000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp:nbss:smb","34001","445","0x0018",,,"0x32",
"105","Dec  5, 2025 12:25:58.368137000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","34001","0x0018",,,"0x32",
"66","Dec  5, 2025 12:25:58.368170000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","34001","445","0x0010",,,,
"212","Dec  5, 2025 12:25:59.010330000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"56173","1900",,
