frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"60","Dec  5, 2025 12:53:33.915819000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 12:53:34.424137000 EST",,,,"eth:ethertype:arp",,,,,,,
"42","Dec  5, 2025 12:53:34.424152000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 12:53:34.424138000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 12:53:34.424197000 EST",,,,"eth:ethertype:arp",,,,,,,
"42","Dec  5, 2025 12:53:35.004090000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 12:53:35.004311000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 12:53:35.317204000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 12:53:35.916009000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 12:53:36.910010000 EST",,,,"eth:ethertype:arp",,,,,,,
"212","Dec  5, 2025 12:53:36.938973000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"58583","1900",,
"212","Dec  5, 2025 12:53:37.940701000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"58583","1900",,
"212","Dec  5, 2025 12:53:38.945621000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"58583","1900",,
"212","Dec  5, 2025 12:53:39.957966000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"58583","1900",,
"60","Dec  5, 2025 12:53:41.347108000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 12:53:41.902932000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 12:53:42.901424000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 12:53:44.366489000 EST",,,,"eth:ethertype:arp",,,,,,,
"42","Dec  5, 2025 12:53:44.388797000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec  5, 2025 12:53:44.389046000 EST",,,,"eth:ethertype:arp",,,,,,,
"74","Dec  5, 2025 12:53:44.389054000 EST","192.168.138.181","192.168.138.184","64","eth:ethertype:ip:tcp","41115","445","0x0002",,,,
"74","Dec  5, 2025 12:53:44.389378000 EST","192.168.138.184","192.168.138.181","128","eth:ethertype:ip:tcp","445","41115","0x0012",,,,
