frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"74","Dec 17, 2025 19:15:04.311127000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","37779","445","0x0002",,,,
"60","Dec 17, 2025 19:15:04.311489000 EST",,,,"eth:ethertype:arp",,,,,,,
"42","Dec 17, 2025 19:15:04.311497000 EST",,,,"eth:ethertype:arp",,,,,,,
"74","Dec 17, 2025 19:15:04.311655000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","37779","0x0012",,,,
"66","Dec 17, 2025 19:15:04.311680000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","37779","445","0x0010",,,,
"154","Dec 17, 2025 19:15:04.318598000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","37779","445","0x0018",,,"0x72","LANMAN1.0"
"197","Dec 17, 2025 19:15:04.331294000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:spnego","445","37779","0x0018",,,"0x72",
"66","Dec 17, 2025 19:15:04.331353000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","37779","445","0x0010",,,,
"212","Dec 17, 2025 19:15:04.333073000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","37779","445","0x0018",,,"0x73",
"417","Dec 17, 2025 19:15:04.333470000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","445","37779","0x0018",,,"0x73",
"262","Dec 17, 2025 19:15:04.335070000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","37779","445","0x0018",,,"0x73",
"179","Dec 17, 2025 19:15:04.335435000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","37779","0x0018",,,"0x73",
"143","Dec 17, 2025 19:15:04.336470000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","37779","445","0x0018",,,"0x75",
"116","Dec 17, 2025 19:15:04.336621000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","37779","0x0018",,,"0x75",
"144","Dec 17, 2025 19:15:04.337818000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","37779","445","0x0018",,,"0x25",
"105","Dec 17, 2025 19:15:04.337942000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","37779","0x0018",,,"0x25",
"74","Dec 17, 2025 19:15:04.338755000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","43123","135","0x0002",,,,
"74","Dec 17, 2025 19:15:04.338901000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","135","43123","0x0012",,,,
"66","Dec 17, 2025 19:15:04.338926000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","43123","135","0x0010",,,,
"138","Dec 17, 2025 19:15:04.339031000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:dcerpc","43123","135","0x0018",,,,
"126","Dec 17, 2025 19:15:04.339193000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:dcerpc","135","43123","0x0018",,,,
