frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"150","Dec 18, 2025 15:29:41.486278000 EST","192.168.138.180","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb2","445","48904","0x0018",,,,
"224","Dec 18, 2025 15:29:41.486348000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp:nbss:smb2","48904","445","0x0018",,,,
"143","Dec 18, 2025 15:29:41.486471000 EST","192.168.138.180","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb2","445","48904","0x0018",,,,
"66","Dec 18, 2025 15:29:41.530031000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp","48904","445","0x0010",,,,
"138","Dec 18, 2025 15:29:41.588166000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp:nbss:smb2","48904","445","0x0018",,,,
"138","Dec 18, 2025 15:29:41.588457000 EST","192.168.138.180","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb2","445","48904","0x0018",,,,
"66","Dec 18, 2025 15:29:41.588492000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp","48904","445","0x0010",,,,
"72","Dec 18, 2025 15:29:41.860828000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:41.862348000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"110","Dec 18, 2025 15:29:42.022303000 EST","192.168.138.180","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"78","Dec 18, 2025 15:29:42.038261000 EST","192.168.138.180","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"52488","53",,
"86","Dec 18, 2025 15:29:42.463232000 EST",,,,"eth:ethertype:ipv6:udp:llmnr",,,,"59319","5355",,
"66","Dec 18, 2025 15:29:42.463232000 EST","192.168.138.1","224.0.0.252","1","eth:ethertype:ip:udp:llmnr",,,,"59319","5355",,
"72","Dec 18, 2025 15:29:42.463412000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:42.465867000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"110","Dec 18, 2025 15:29:42.787851000 EST","192.168.138.180","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"72","Dec 18, 2025 15:29:42.881135000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:42.882814000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"110","Dec 18, 2025 15:29:43.552887000 EST","192.168.138.180","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"78","Dec 18, 2025 15:29:44.052797000 EST","192.168.138.180","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"52488","53",,
"90","Dec 18, 2025 15:29:44.311923000 EST","192.168.138.181","160.119.216.197","64","eth:ethertype:ip:udp:ntp",,,,"60343","123",,
"228","Dec 18, 2025 15:29:44.318560000 EST","192.168.138.180","192.168.138.255","128","eth:ethertype:ip:udp:nbdgm:smb:browser",,,,"138","138","0x25",
"228","Dec 18, 2025 15:29:44.318586000 EST","192.168.138.180","192.168.138.255","128","eth:ethertype:ip:udp:nbdgm:smb:browser",,,,"138","138","0x25",
"258","Dec 18, 2025 15:29:44.319502000 EST","192.168.138.180","192.168.138.255","128","eth:ethertype:ip:udp:nbdgm:smb:browser",,,,"138","138","0x25",
"86","Dec 18, 2025 15:29:44.475485000 EST",,,,"eth:ethertype:ipv6:udp:llmnr",,,,"62961","5355",,
"66","Dec 18, 2025 15:29:44.475615000 EST","192.168.138.1","224.0.0.252","1","eth:ethertype:ip:udp:llmnr",,,,"62961","5355",,
"72","Dec 18, 2025 15:29:44.475830000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:44.477908000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"90","Dec 18, 2025 15:29:44.543233000 EST","160.119.216.197","192.168.138.181","128","eth:ethertype:ip:udp:ntp",,,,"123","60343",,
"72","Dec 18, 2025 15:29:44.893872000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:44.895831000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"138","Dec 18, 2025 15:29:45.970685000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp:nbss:smb2","48904","445","0x0018",,,,
"138","Dec 18, 2025 15:29:45.970933000 EST","192.168.138.180","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb2","445","48904","0x0018",,,,
"66","Dec 18, 2025 15:29:45.970946000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp","48904","445","0x0010",,,,
"78","Dec 18, 2025 15:29:48.045516000 EST","192.168.138.180","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"52488","53",,
"86","Dec 18, 2025 15:29:48.466248000 EST",,,,"eth:ethertype:ipv6:udp:llmnr",,,,"51399","5355",,
"66","Dec 18, 2025 15:29:48.466580000 EST","192.168.138.1","224.0.0.252","1","eth:ethertype:ip:udp:llmnr",,,,"51399","5355",,
"72","Dec 18, 2025 15:29:48.466823000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:48.468469000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"66","Dec 18, 2025 15:29:48.655915000 EST","192.168.138.1","192.168.138.180","128","eth:ethertype:ip:tcp","63731","80","0x0002",,,,
"66","Dec 18, 2025 15:29:48.655916000 EST","192.168.138.1","192.168.138.181","128","eth:ethertype:ip:tcp","63732","80","0x0002",,,,
"60","Dec 18, 2025 15:29:48.655916000 EST","192.168.138.180","192.168.138.1","128","eth:ethertype:ip:tcp","80","63731","0x0014",,,,
"54","Dec 18, 2025 15:29:48.655943000 EST","192.168.138.181","192.168.138.1","64","eth:ethertype:ip:tcp","80","63732","0x0014",,,,
"72","Dec 18, 2025 15:29:48.881007000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:48.883072000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"66","Dec 18, 2025 15:29:49.156695000 EST","192.168.138.1","192.168.138.181","128","eth:ethertype:ip:tcp","63732","80","0x0002",,,,
"66","Dec 18, 2025 15:29:49.156695000 EST","192.168.138.1","192.168.138.180","128","eth:ethertype:ip:tcp","63731","80","0x0002",,,,
"60","Dec 18, 2025 15:29:49.156695000 EST","192.168.138.180","192.168.138.1","128","eth:ethertype:ip:tcp","80","63731","0x0014",,,,
"54","Dec 18, 2025 15:29:49.156722000 EST","192.168.138.181","192.168.138.1","64","eth:ethertype:ip:tcp","80","63732","0x0014",,,,
"157","Dec 18, 2025 15:29:49.737839000 EST",,,,"eth:ethertype:ipv6:udp:dhcpv6",,,,"546","547",,
"138","Dec 18, 2025 15:29:51.059117000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp:nbss:smb2","48904","445","0x0018",,,,
"138","Dec 18, 2025 15:29:51.059377000 EST","192.168.138.180","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb2","445","48904","0x0018",,,,
"66","Dec 18, 2025 15:29:51.059418000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp","48904","445","0x0010",,,,
"78","Dec 18, 2025 15:29:52.037053000 EST","192.168.138.180","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"49809","53",,
"86","Dec 18, 2025 15:29:52.459251000 EST",,,,"eth:ethertype:ipv6:udp:llmnr",,,,"57058","5355",,
"66","Dec 18, 2025 15:29:52.459251000 EST","192.168.138.1","224.0.0.252","1","eth:ethertype:ip:udp:llmnr",,,,"57058","5355",,
"72","Dec 18, 2025 15:29:52.459500000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:52.461320000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"72","Dec 18, 2025 15:29:52.874220000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:52.875675000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"78","Dec 18, 2025 15:29:53.047351000 EST","192.168.138.180","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"49809","53",,
"60","Dec 18, 2025 15:29:53.150900000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec 18, 2025 15:29:53.150901000 EST",,,,"eth:ethertype:arp",,,,,,,
"42","Dec 18, 2025 15:29:53.150936000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec 18, 2025 15:29:53.151023000 EST",,,,"eth:ethertype:arp",,,,,,,
"86","Dec 18, 2025 15:29:53.460836000 EST",,,,"eth:ethertype:ipv6:udp:llmnr",,,,"54503","5355",,
"66","Dec 18, 2025 15:29:53.460956000 EST","192.168.138.1","224.0.0.252","1","eth:ethertype:ip:udp:llmnr",,,,"54503","5355",,
"72","Dec 18, 2025 15:29:53.461255000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:53.463358000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"72","Dec 18, 2025 15:29:53.878913000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:53.880904000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"78","Dec 18, 2025 15:29:54.058070000 EST","192.168.138.180","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"49809","53",,
"86","Dec 18, 2025 15:29:54.479802000 EST",,,,"eth:ethertype:ipv6:udp:llmnr",,,,"56732","5355",,
