frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"110","Dec 11, 2025 08:10:21.586070000 EST","192.168.138.183","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"60","Dec 11, 2025 08:10:21.671387000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec 11, 2025 08:10:22.674632000 EST",,,,"eth:ethertype:arp",,,,,,,
"212","Dec 11, 2025 08:10:22.737301000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"56997","1900",,
"110","Dec 11, 2025 08:10:23.099533000 EST","192.168.138.183","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"433","Dec 11, 2025 08:10:23.352168000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"453","Dec 11, 2025 08:10:23.353780000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"94","Dec 11, 2025 08:10:23.355918000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"114","Dec 11, 2025 08:10:23.357286000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"94","Dec 11, 2025 08:10:23.614653000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"114","Dec 11, 2025 08:10:23.616430000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"212","Dec 11, 2025 08:10:23.751452000 EST","192.168.138.1","239.255.255.250","1","eth:ethertype:ip:udp:ssdp",,,,"56997","1900",,
"94","Dec 11, 2025 08:10:23.874652000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"114","Dec 11, 2025 08:10:23.875977000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"60","Dec 11, 2025 08:10:23.997148000 EST",,,,"eth:ethertype:arp",,,,,,,
