session_id,nt_count,trans2_count,duration,label
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.181_192.168.138.184_43225.0,0,0,0.010366,0
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.181_192.168.138.184_43409.0,0,0,0.026673,0
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.181_192.168.138.184_44369.0,0,0,0.069659,0
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.181_192.168.138.184_4444.0,0,0,67.511724,0
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.181_192.168.138.184_44445.0,1,9,10.192126,1
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.181_192.168.138.184_44815.0,0,0,0.065462,0
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.181_192.168.138.184_45255.0,0,0,0.008154,0
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.181_192.168.138.184_45933.0,0,0,0.006703,0
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.184_192.168.138.181_135.0,0,0,0.000404,0
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.184_192.168.138.181_445.0,1,2,11.533247,1
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.184_192.168.138.181_49161.0,0,0,67.511705,0
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.184_192.168.138.255_nan,0,0,0.0,0
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.184_192.168.138.2_nan,0,0,3.026181,0
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.1_192.168.138.255_nan,0,0,90.024504,0
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.1_224.0.0.251_nan,0,0,120.006081,0
../data/processed/csv/attack\attacktraffic11.csv_192.168.138.1_239.255.255.250_nan,0,0,62.557826,0
../data/processed/csv/attack\attacktraffic11.csv_nan_nan_nan,0,0,120.006093,0
../data/processed/csv/attack\attacktraffic12.csv_142.250.181.74_192.168.138.181_443.0,0,0,2.6714539999999998,0
../data/processed/csv/attack\attacktraffic12.csv_151.101.1.91_192.168.138.181_443.0,0,0,1.24082,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_142.250.181.74_37578.0,0,0,2.724639,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_151.101.1.91_41020.0,0,0,0.703303,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_151.101.1.91_41024.0,0,0,0.763211,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_33147.0,0,0,0.040013,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_33163.0,0,0,0.072941,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_33267.0,0,0,0.02984,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_33429.0,0,0,0.004456,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_33689.0,0,1,1.017211,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_34189.0,0,0,0.075507,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_34247.0,0,0,0.017407,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_34431.0,0,0,0.015221,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_34921.0,1,9,10.080633,1
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_35091.0,0,0,0.080755,0
